Rndrng_NPI,Tot_Benes,Avg_Mdcr_Stdzd_Amt,Tot_Mdcr_Stdzd_Amt,Labels
1013236876,243,1288.2913576890003,313054.8,0
1013238161,189,409.42342105000006,77381.03,0
1013250232,81,273.972483616,22191.77,0
1013250604,156,350.819543478,54727.85,0
1013263110,626,2411.1346833653997,1509370.31,3
1013268077,428,640.3083223770001,274051.96,0
1013273614,46,158.11595745,7273.33,0
1013277342,78,357.44,27880.32,0
1013282243,169,582.048045817,98366.12,0
1013283035,69,330.991730406,22838.43,0
1013295922,2174,5489.995005349,11935249.14,1
1013297167,774,1163.8000394196997,900781.23,0
1013298223,71,301.55428571,21410.35,0
1013298264,95,731.13357142,69457.69,0
1013322577,191,829.067985613,158351.99,0
1013323831,321,707.372202066,227066.48,0
1013327493,76,386.24,29354.24,0
1013331735,3448,3082.3912643850013,10628085.08,4
1013337054,421,1059.1534330220002,445903.6,0
1013350578,270,1309.131604933,353465.53,0
1013356096,51,329.18,16788.18,0
1013900836,834,2980.995357276,2486150.13,3
1013902006,1049,979.8870866120001,1027901.55,0
1013902436,19,94.71863636399999,1799.65,0
1013903715,745,1094.349210968,815290.16,0
1013905512,248,277.601792402,68845.24,0
1013909993,773,1521.998247043,1176504.64,3
1013910256,544,842.3259036889999,458225.29,0
1013910660,178,196.318083338,34944.62,0
1013911593,4282,4496.4711034014,19253889.26,4
1013911668,8999,6286.1203798595,56568797.3,2
1013914092,2188,7002.197599596,15320808.35,1
1013916543,1396,2535.9826356870003,3540231.76,3
1013917400,8613,1497.9632131494998,12901957.15,4
1013917764,688,125.6439232804,86443.02,0
1013919216,784,1701.6786313629998,1334116.05,3
1013919398,375,331.76799576999997,124413.0,0
1013923846,1540,1096.3142298398,1688323.91,3
1013923937,94,731.217086614,68734.41,0
1013925650,130,378.293857143,49178.2,0
1013926922,190,1403.359979632,266638.4,0
1013927755,101,248.742948718,25123.04,0
1013930007,897,1600.3099926059997,1435478.06,3
1013930577,576,2683.0123464568996,1545415.11,3
1013930643,888,1834.400666151,1628947.79,3
1013931526,2543,5768.3738282228,14668974.65,1
